,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
World Urbanization Prospects: The 2014 Revision,,,,,,,,,,,,,,,,,,,,,,,,
"File 3: Urban Population at Mid-Year by Major Area, Region and Country, 1950-2050 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WUP/Rev.2014/1/F03,,,,,,,,,,,,,,,,,,,,,,,,
June 2014 - Copyright © 2014 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2014). World Urbanization Prospects: The 2014 Revision, CD-ROM Edition.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Urban Population at Mid-Year, 1950-2050 (thousands)",,,,,,,,,,,,,,,,,,,,
Index,"Major area, region, country or area",Note,Country Code,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
76,Togo,,768,61.172,98.676,159.599,255.437,450.179,552.648,671.03,864.068,1082.828,1315.564,1600.834,1949.313,2366.832,2865.73,3431.509,4066.857,4779.712,5575.264,6447.315,7394.786,8404.129
77,ASIA,,935,244574.155,296530.949,358012.357,430382.373,504564.587,596737.432,714386.241,865348.422,1036246.836,1211260.491,1392739.609,1621843.454,1864835.926,2113137.37,2347541.174,2561408.668,2752456.877,2920137.225,3065534.922,3197039.285,3313423.641
78,Eastern Asia,,906,119111.108,148294.275,181384.167,217184.673,246155.292,280117.034,324399.865,389655.304,467014.408,550368.244,632395.736,747566.473,865825.69,982409.704,1081098.176,1156059.999,1207794.354,1237974.408,1250303.996,1254110.807,1250223.621
79,China,4,156,64180.395,83276.451,105426.589,128692.283,141701.722,158961.22,190483.105,242987.297,308166.89,383155.985,459383.108,560517.729,669386.225,779478.624,874427.437,947539.986,998924.971,1030048.15,1044395.487,1050837.91,1049947.58
80,"China, Hong Kong SAR",5,344,1681.846,2121.539,2620.541,3285.59,3472.484,3906.492,4623.027,5031.426,5766.038,6144.498,6835.301,6896.686,7049.514,7313.557,7549.528,7743.047,7885.155,7969.437,8003.569,8011.702,8003.705
81,"China, Macao SAR",6,446,190.372,174.499,163.379,199,243.547,242.979,242.59,294.375,358.882,398.1,431.907,468.149,534.626,584.42,626.47,666.603,701.551,730.511,754.875,776.606,796.928
82,Dem. People's Republic of Korea,,408,3270.335,3577.107,4591.911,5657.767,7810.438,9227.78,9884.766,10824.363,11790.239,12844.558,13569.935,14241.596,14751.886,15313.311,15942.149,16620.682,17308.228,17965.681,18548.528,19059.279,19506.891
83,Japan,,392,43896.325,51638.281,58527.313,66062.396,74541.626,83896.5,88296.602,92046.283,94545.802,97116.988,98872.893,109173.975,115282.491,118572.468,119444.444,118715.243,116917.699,114422.798,111531.927,108602.453,105783.802
84,Mongolia,,496,156.04,227.616,340.92,466.257,576.137,719.936,880.007,1057.81,1245.682,1305.424,1369.746,1578.917,1832.915,2105.778,2354.525,2562.19,2724.468,2855.896,2973.85,3086.305,3181.338
85,Republic of Korea,,410,4102.424,5163.411,6948.101,9185.316,12796.196,16673.688,21242.246,26275.888,31732.377,34936.193,36607.487,38259.141,39701.2,41031.163,42185.366,43232.042,44113.85,44726.201,45010.625,44985.253,44708.783
86,Other non-specified areas,,158,1633.371,2115.371,2765.413,3636.064,5013.142,6488.439,8747.522,11137.862,13408.498,14466.498,15325.359,16430.28,17286.833,18010.383,18568.257,18980.206,19218.432,19255.734,19085.135,18751.299,18294.594
87,South-Central Asia,7,921,84665.309,97239.062,112669.815,133612.944,159458.666,194257.511,239801.9,286881.368,338429.12,389068.452,443554.59,507255.368,575557.481,651196.826,732870.359,819597.34,909208.155,1000018.47,1089615.648,1176755.705,1260027.509
88,Central Asia,,5500,5715.252,7154.276,9368.273,11752.243,14037.501,16366.826,18488.318,20585.478,22347.189,22733.342,22870.073,23607.037,24950.647,26766.58,28928.846,31344.986,34020.329,37016.402,40188.05,43373.63,46416.703
89,Kazakhstan,,398,2437.081,3106.547,4293.505,5452.23,6408.761,7231.137,7860.791,8627.264,9099.287,8695.585,8122.825,8242.917,8554.667,8929.685,9360.24,9831.707,10356.786,10990.175,11691.455,12388.6,13034.401
90,Kyrgyzstan,,417,460.772,581.91,742.572,922.63,1110.669,1259.765,1401.188,1540.243,1660.123,1669.217,1748.963,1779.463,1883.132,2037.999,2257.406,2497.199,2753.717,3042.268,3365.003,3708.61,4051.74
91,Tajikistan,,762,449.925,554.382,684.603,875.154,1076.636,1212.783,1343.335,1509.112,1677.012,1670.328,1638.449,1798.951,2022.482,2306.057,2641.682,3027.138,3472.802,4013.805,4671.446,5406.485,6185.202
92,Turkmenistan,,795,544.498,619.277,739.573,890.918,1045.657,1198.448,1346.9,1484.81,1653.346,1875.97,2066.754,2233.759,2440.433,2688.708,2952.721,3217.956,3473.226,3710.479,3929.549,4128.851,4303.165
93,Uzbekistan,,860,1822.976,2292.16,2908.02,3611.311,4395.778,5464.693,6536.104,7424.049,8257.421,8822.242,9293.082,9551.947,10049.933,10804.131,11716.797,12770.986,13963.798,15259.675,16530.597,17741.084,18842.195
