city,state_name,lat,lng,population,density
Grand Rapids,Michigan,42.9619,-85.6562,611480,1705.4
Columbia,South Carolina,34.0378,-80.9036,605083,384.8
Albany,New York,42.6664,-73.7987,602242,1805.4
Bakersfield,California,35.3529,-119.0359,578542,1049.2
New Haven,Connecticut,41.3113,-72.9246,565056,2745.3
Des Moines,Iowa,41.5725,-93.6105,560170,930.5
Palm Bay,Florida,27.9631,-80.6593,547659,558.1
Akron,Ohio,41.0798,-81.5219,538659,1181.5
Concord,California,37.9722,-122.0016,525233,1569.5
Mesa,Arizona,33.4015,-111.7178,507478,1381.6
Wichita,Kansas,37.6895,-97.3443,501760,927.4
Harrisburg,Pennsylvania,40.2752,-76.8843,499494,2382.2
Staten Island,New York,40.5834,-74.1496,495747,3286.2
Toledo,Ohio,41.6638,-83.5827,492076,1287.8
Worcester,Massachusetts,42.2705,-71.8079,487014,2123.8
Port St. Lucie,Florida,27.2796,-80.3884,473733,714
Little Rock,Arkansas,34.7256,-92.3577,467846,645.6
Madison,Wisconsin,43.0822,-89.393,460255,1272.4
Spokane,Washington,47.6671,-117.433,458988,1287.2
Long Beach,California,33.7977,-118.167,458491,3493.5
Denton,Texas,33.2175,-97.1418,455152,585.4
Reno,Nevada,39.5497,-119.8483,454814,952.8
Boise,Idaho,43.6005,-116.2308,449428,1068.7
Bonita Springs,Florida,26.3558,-81.7859,445500,550.9
Kissimmee,Florida,28.3041,-81.4169,442790,1425.5
Augusta,Georgia,33.3645,-82.0708,439361,257.4
Springfield,Massachusetts,42.1155,-72.5395,438889,1874.8
Oakland,California,37.7904,-122.2166,438072,3022.3
Winston-Salem,North Carolina,36.1029,-80.261,434231,724.6
Stockton,California,37.9765,-121.3109,416005,1954.8
Durham,North Carolina,35.9792,-78.9022,411362,937.2
Chattanooga,Tennessee,35.066,-85.2481,410795,495.9
Greenville,South Carolina,34.8354,-82.3646,408626,914.4
Lancaster,Pennsylvania,40.042,-76.3012,408023,3081.6
Syracuse,New York,43.0407,-76.1437,407625,2252.8
Fayetteville,Arkansas,36.0714,-94.1661,405556,685.6
Pensacola,Florida,30.4413,-87.1911,401535,915.7
Arlington,Texas,32.6998,-97.125,394769,1590.2
Aurora,Colorado,39.7083,-104.7237,390201,918.3
Scranton,Pennsylvania,41.4044,-75.6649,375462,1160.6
Oxnard,California,34.1964,-119.1815,373423,2923.8
Indio,California,33.7346,-116.2346,371926,1055
Victorville,California,34.5277,-117.3536,363596,712.3
Trenton,New Jersey,40.2237,-74.7641,362501,4566.7
Huntsville,Alabama,34.6981,-86.6412,359389,375.1
Modesto,California,37.6375,-121.0028,355686,1946.8
Honolulu,Hawaii,21.3294,-157.846,346323,2205.7
Greensboro,North Carolina,36.0956,-79.8271,345858,858.4
Fort Wayne,Indiana,41.0888,-85.1436,345279,919.8
Anaheim,California,33.839,-117.8574,344553,2645.7
Corpus Christi,Texas,27.7254,-97.3767,339432,736.3
Fort Collins,Colorado,40.5477,-105.0656,339256,1144.7
Antioch,California,37.9787,-121.796,333347,1532.1
Jackson,Mississippi,32.3157,-90.2125,331332,518
Fayetteville,North Carolina,35.085,-78.9772,326821,546.1
Myrtle Beach,South Carolina,33.7094,-78.8844,325829,613.7
Henderson,Nevada,36.0133,-115.0381,324523,1035.6
Mobile,Alabama,30.6782,-88.1162,324067,473.8
Lexington,Kentucky,38.0423,-84.4587,321122,436.8
Lansing,Michigan,42.7142,-84.5601,318001,1103.8
Savannah,Georgia,32.0286,-81.1821,316446,520.5
Youngstown,Ohio,41.0993,-80.6463,315751,678.3
Ann Arbor,Michigan,42.2759,-83.731,314647,1648.2
Santa Ana,California,33.7367,-117.8819,311639,4395.2
Irvine,California,33.6772,-117.7738,308160,1813.4
St. Paul,Minnesota,44.9478,-93.1039,307762,2286
Poughkeepsie,New York,41.695,-73.9211,307738,2384.9
Newark,New Jersey,40.7245,-74.1725,307188,4912.5
Santa Rosa,California,38.4458,-122.7067,299986,1608.3
Concord,North Carolina,35.3933,-80.6369,297379,635.6
Winter Haven,Florida,28.0118,-81.7014,296830,614.1
Asheville,North Carolina,35.5707,-82.5537,295040,801.1
Canton,Ohio,40.8078,-81.3676,293657,1020.7
Lincoln,Nebraska,40.8099,-96.6784,293055,1114.9
Flint,Michigan,43.0236,-83.6921,291688,933.3
Lakeland,Florida,28.0557,-81.9545,290762,678.7
Jersey City,New Jersey,40.7184,-74.0686,289691,7584.1
Anchorage,Alaska,61.1508,-149.1091,289069,65.4
Springfield,Missouri,37.1943,-93.2916,289041,785.4
Plano,Texas,33.0502,-96.7486,287339,1547.3
Lubbock,Texas,33.5657,-101.8879,283024,704
Davenport,Iowa,41.5565,-90.6053,282356,607.8
Reading,Pennsylvania,40.34,-75.9267,280030,3720
Shreveport,Louisiana,32.4653,-93.7955,278269,655
Chandler,Arizona,33.2825,-111.8514,278123,1635.8
South Bend,Indiana,41.6767,-86.2696,275725,948
Wilmington,North Carolina,34.2099,-77.8866,275128,891.3
Chula Vista,California,32.6281,-117.0144,275030,2139.3
Rockford,Illinois,42.2596,-89.064,274256,872.8
Eugene,Oregon,44.0564,-123.1174,272737,1540.6
Salem,Oregon,44.9233,-123.0244,272331,1393.7
Gilbert,Arizona,33.31,-111.7463,271118,1522
North Las Vegas,Nevada,36.2883,-115.0888,270773,992.4
Santa Clarita,California,34.4175,-118.4964,265529,1201.1
Peoria,Illinois,40.752,-89.6154,262461,899.5
Tallahassee,Florida,30.4551,-84.2527,261271,751.8
Killeen,Texas,31.0753,-97.7297,261099,1103.6
St. Petersburg,Florida,27.7931,-82.6652,260646,1628.3
Kennewick,Washington,46.1978,-119.1732,260091,1142.9
Columbus,Georgia,32.51,-84.8771,257578,364.5
Laredo,Texas,27.5625,-99.4874,255949,905.9
Irving,Texas,32.8583,-96.9702,255036,1470.2
Round Lake Beach,Illinois,42.3791,-88.0811,252224,2072.3
Montgomery,Alabama,32.3482,-86.2668,251545,479.3
Chesapeake,Virginia,36.6778,-76.3023,251153,286.5
